target_id	length	eff_length	est_counts	tpm
lcl|AF157706.1_cds_AAD49614.1_1	2280	2138.85	93.5459	318.253
lcl|AF157706.1_cds_AAD49618.1_2	603	461.845	7.25952	114.377
lcl|AF157706.1_cds_AAD49617.1_3	480	338.99	9.69455	208.097
lcl|AF157706.1_cds_AAD49616.1_4	240	107.442	3.5	237.04
lcl|AF157706.1_cds_AAD49615.1_5	1179	1037.85	449.5	3151.55
lcl|AF157706.1_cds_AAD49619.1_6	180	59.4424	103.5	12669.8
lcl|AF157706.1_cds_AAD49620.1_7	582	440.845	16	264.095
lcl|AF157706.1_cds_AAD49621.1_8	240	107.442	62.7217	4247.87
lcl|AF157706.1_cds_AAD49691.1_9	1092	950.845	244.278	1869.4
lcl|AF157706.1_cds_AAD49622.1_10	1161	1019.85	550	3924.24
lcl|AF157706.1_cds_AAD49623.1_11	1608	1466.85	504	2500.19
lcl|AF157706.1_cds_AAD49634.1_12	2712	2570.85	1948.49	5515.03
lcl|AF157706.1_cds_AAD49624.1_13	207	80.1978	22.5145	2042.8
lcl|AF157706.1_cds_AAD49625.1_14	1236	1094.85	732	4865.03
lcl|AF157706.1_cds_AAD49626.1_15	315	176.352	91	3754.81
lcl|AF157706.1_cds_AAD49627.1_16	1512	1370.85	559.514	2969.95
lcl|AF157706.1_cds_AAA02870.1_17	2577	2435.85	2169.49	6480.88
lcl|AF157706.1_cds_AAD49690.1_18	618	476.845	157	2395.79
lcl|AF157706.1_cds_AAD49628.1_19	324	185.015	59	2320.44
lcl|AF157706.1_cds_AAD49629.1_20	1833	1691.85	1448	6227.8
lcl|AF157706.1_cds_AAD49689.1_21	576	434.845	495	8283.19
lcl|AF157706.1_cds_AAD49635.1_22	1005	863.845	530	4464.44
lcl|AF157706.1_cds_AAD49630.1_23	885	743.845	1075	10516.1
lcl|AF157706.1_cds_AAD49631.1_24	1170	1028.85	1046	7397.9
lcl|AF157706.1_cds_AAD49632.1_25	1305	1163.85	980	6127.14
lcl|AF157706.1_cds_AAD49633.1_26	1503	1361.85	975.076	5210
lcl|AF157706.1_cds_AAD49636.1_27	609	467.845	258.924	4027.14
lcl|AF157706.1_cds_AAD49688.1_28	900	758.845	920	8821.89
lcl|AF157706.1_cds_AAD49637.1_29	267	131.842	900	49672.5
lcl|AF157706.1_cds_AAD49638.1_30	174	55.0892	290	38305.3
lcl|AF157706.1_cds_AAD49639.1_31	951	809.845	552	4959.8
lcl|AF157706.1_cds_AAD49640.1_32	888	746.845	2105	20509.2
lcl|AF157706.1_cds_AAD49641.1_33	1101	959.845	2593	19657.5
lcl|AF157706.1_cds_AAD49642.1_34	2415	2273.85	902	2886.51
lcl|AF157706.1_cds_AAD49643.1_35	900	758.845	550.981	5283.36
lcl|AF157706.1_cds_AAD49644.1_36	3249	3107.85	913.019	2137.7
lcl|AF157706.1_cds_AAD49645.1_37	6234	6092.85	1948	2326.46
lcl|AF157706.1_cds_AAD49646.1_38	270	134.628	377	20376.7
lcl|AF157706.1_cds_AAD49647.1_39	1413	1271.85	682	3901.91
lcl|AF157706.1_cds_AAD49648.1_40	831	689.845	691	7288.75
lcl|AF157706.1_cds_AAD49649.1_41	321	182.124	67	2676.92
lcl|AF157706.1_cds_AAD49650.1_42	1455	1313.85	381	2110.12
lcl|AF157706.1_cds_AAD49651.1_43	795	653.845	342	3806.08
lcl|AF157706.1_cds_AAD49652.1_44	3039	2897.85	3145	7897.18
lcl|AF157706.1_cds_AAD49653.1_45	2493	2351.85	1533	4743.08
lcl|AF157706.1_cds_AAD49654.1_46	2181	2039.85	1009	3599.32
lcl|AF157706.1_cds_AAB06339.1_47	3399	3257.85	3933	8784.57
lcl|AF157706.1_cds_AAB06340.1_48	1551	1409.85	1872	9661.87
lcl|AF157706.1_cds_AAB06341.1_49	2583	2441.85	1132	3373.3
lcl|AF157706.1_cds_AAB06342.1_50	696	554.845	534	7003.2
lcl|AF157706.1_cds_AAB06343.1_51	1131	989.845	625	4594.51
lcl|AF157706.1_cds_AAB06344.1_52	255	120.856	463	27876.5
lcl|AF157706.1_cds_AAB06345.1_53	2217	2075.85	745	2611.49
lcl|AF157706.1_cds_AAB06346.1_54	2085	1943.85	2568	9613.03
lcl|AF157706.1_cds_AAB06347.1_55	759	617.845	349.136	4111.89
lcl|AF157706.1_cds_AAB06348.1_56	1668	1526.85	745.864	3554.61
lcl|AF157706.1_cds_AAB06349.1_57	906	764.845	2451	23318.3
lcl|AF157706.1_cds_AAD49655.1_58	777	635.845	573	6557.38
lcl|AF157706.1_cds_AAD49656.1_59	1587	1445.85	1910	9612.55
lcl|AF157706.1_cds_AAD49657.1_60	1380	1238.85	1721	10108.6
lcl|AF157706.1_cds_AAD49658.1_61	1479	1337.85	454	2469.32
lcl|AF157706.1_cds_AAD49659.1_62	891	749.845	1946	18884.2
lcl|AF157706.1_cds_AAD49660.1_63	4038	3896.85	3880	7245.12
lcl|AF157706.1_cds_AAD49661.1_64	2319	2177.85	733	2449.08
lcl|AF157706.1_cds_AAD49662.1_65	1053	911.845	640	5107.23
lcl|AF157706.1_cds_AAD49667.1_66	2001	1859.85	658	2574.4
lcl|AF157706.1_cds_AAD49663.1_67	264	129.039	107	6033.8
lcl|AF157706.1_cds_AAD49664.1_68	657	515.845	372	5247.48
lcl|AF157706.1_cds_AAD49665.1_69	1329	1187.85	747	4576.02
lcl|AF157706.1_cds_AAD49666.1_70	1008	866.845	772	6480.41
lcl|AF157706.1_cds_AAD49668.1_71	1062	920.845	600	4741.24
lcl|AF157706.1_cds_AAD49669.1_72	345	205.411	320	11335.8
lcl|AF157706.1_cds_AAD49670.1_73	1692	1550.85	3540	16609.7
lcl|AF157706.1_cds_AAB06353.1_74	1467	1325.85	2030	11141.2
lcl|AF157706.1_cds_AAB06354.1_75	246	112.709	405	26147
lcl|AF157706.1_cds_AAB06355.1_76	1035	893.845	1208	9834.03
lcl|AF157706.1_cds_AAB06356.1_77	2343	2201.85	1493	4934.01
lcl|AF157706.1_cds_AAB06357.1_78	1989	1847.85	1263	4973.53
lcl|AF157706.1_cds_AAB06358.1_79	750	608.845	309.265	3696.16
lcl|AF157706.1_cds_AAB06359.1_80	1989	1847.85	545.477	2148.02
lcl|AF157706.1_cds_AAB06360.1_81	2475	2333.85	865.258	2697.74
lcl|AF157706.1_cds_AAB06361.1_82	240	107.442	2079	140802
lcl|AF157706.1_cds_AAB06362.1_83	228	97.2158	433	32409.9
lcl|AF157706.1_cds_AAD49671.1_84	1443	1301.85	4823	26957.8
lcl|AF157706.1_cds_AAB06365.1_85	768	626.845	1760	20430.5
lcl|AF157706.1_cds_AAB06366.1_86	753	611.845	909	10810.6
lcl|AF157706.1_cds_AAB06367.1_87	342	202.471	1530	54986.4
lcl|AF157706.1_cds_AAD49672.1_88	1029	887.845	424	3475.01
lcl|AF157706.1_cds_AAD49673.1_89	879	737.845	273	2692.31
lcl|AF157706.1_cds_AAD49674.1_90	4563	4421.85	1091	1795.35
lcl|AF157706.1_cds_AAD49675.1_91	3237	3095.85	4703	11054.1
lcl|AF157706.1_cds_AAD49676.1_92	471	330.055	1946	42902.5
lcl|AF157706.1_cds_AAD49677.1_93	798	656.845	21	232.639
lcl|AF157706.1_cds_AAD49678.1_94	1473	1331.85	569	3108.75
lcl|AF157706.1_cds_AAD49679.1_95	3639	3497.85	4255	8851.68
lcl|AF157706.1_cds_AAD49680.1_96	1851	1709.85	2195	9341.24
lcl|AF157706.1_cds_AAD49681.1_97	321	182.124	7	279.678
lcl|AF157706.1_cds_AAD49682.1_98	2280	2138.85	93.5459	318.253
lcl|AF157706.1_cds_AAD49683.1_99	603	461.845	7.25952	114.377
lcl|AF157706.1_cds_AAD49684.1_100	480	338.99	9.69455	208.097
lcl|AF157706.1_cds_AAD49685.1_101	240	107.442	3.5	237.04
lcl|AF157706.1_cds_AAD49686.1_102	1179	1037.85	449.5	3151.55
lcl|AF157706.1_cds_AAD49687.1_103	180	59.4424	103.5	12669.8
