target_id	length	eff_length	est_counts	tpm
lcl|AF157706.1_cds_AAD49614.1_1	2280	1980.56	8087.5	4668.3
lcl|AF157706.1_cds_AAD49618.1_2	603	303.962	971.461	3653.75
lcl|AF157706.1_cds_AAD49617.1_3	480	188.67	295.539	1790.78
lcl|AF157706.1_cds_AAD49616.1_4	240	61.1257	3	56.1087
lcl|AF157706.1_cds_AAD49615.1_5	1179	879.563	127926	166274
lcl|AF157706.1_cds_AAD49619.1_6	180	47.488	0	0
lcl|AF157706.1_cds_AAD49620.1_7	582	283.302	256	1033.05
lcl|AF157706.1_cds_AAD49621.1_8	240	61.1257	0	0
lcl|AF157706.1_cds_AAD49691.1_9	1092	792.563	9114	13146.4
lcl|AF157706.1_cds_AAD49622.1_10	1161	861.563	6329	8398.1
lcl|AF157706.1_cds_AAD49623.1_11	1608	1308.56	4418	3859.79
lcl|AF157706.1_cds_AAD49634.1_12	2712	2412.56	10559	5003.54
lcl|AF157706.1_cds_AAD49624.1_13	207	53.1674	0	0
lcl|AF157706.1_cds_AAD49625.1_14	1236	936.563	3524	4301.62
lcl|AF157706.1_cds_AAD49626.1_15	315	85.5772	213	2845.47
lcl|AF157706.1_cds_AAD49627.1_16	1512	1212.56	3638	3429.98
lcl|AF157706.1_cds_AAA02870.1_17	2577	2277.56	21506	10795
lcl|AF157706.1_cds_AAD49690.1_18	618	318.813	234	839.098
lcl|AF157706.1_cds_AAD49628.1_19	324	89.2852	31	396.931
lcl|AF157706.1_cds_AAD49629.1_20	1833	1533.56	11047	8235.23
lcl|AF157706.1_cds_AAD49689.1_21	576	277.438	2336	9625.87
lcl|AF157706.1_cds_AAD49635.1_22	1005	705.563	2678	4339.18
lcl|AF157706.1_cds_AAD49630.1_23	885	585.563	4459	8705.56
lcl|AF157706.1_cds_AAD49631.1_24	1170	870.563	6383	8382.19
lcl|AF157706.1_cds_AAD49632.1_25	1305	1005.56	2385	2711.52
lcl|AF157706.1_cds_AAD49633.1_26	1503	1203.56	9859	9364.77
lcl|AF157706.1_cds_AAD49636.1_27	609	309.895	289	1066.14
lcl|AF157706.1_cds_AAD49688.1_28	900	600.563	1998	3803.38
lcl|AF157706.1_cds_AAD49637.1_29	267	68.7524	840	13967.7
lcl|AF157706.1_cds_AAD49638.1_30	174	46.3004	0	0
lcl|AF157706.1_cds_AAD49639.1_31	951	651.563	3163	5549.78
lcl|AF157706.1_cds_AAD49640.1_32	888	588.563	7157	13901.8
lcl|AF157706.1_cds_AAD49641.1_33	1101	801.563	8838	12605.2
lcl|AF157706.1_cds_AAD49642.1_34	2415	2115.56	3324	1796.26
lcl|AF157706.1_cds_AAD49643.1_35	900	600.563	2928.19	5574.09
lcl|AF157706.1_cds_AAD49644.1_36	3249	2949.56	3898.81	1511.15
lcl|AF157706.1_cds_AAD49645.1_37	6234	5934.56	5281	1017.33
lcl|AF157706.1_cds_AAD49646.1_38	270	69.6732	198	3248.87
lcl|AF157706.1_cds_AAD49647.1_39	1413	1113.56	3951	4056.25
lcl|AF157706.1_cds_AAD49648.1_40	831	531.563	4112	8843.65
lcl|AF157706.1_cds_AAD49649.1_41	321	88.0279	61	792.214
lcl|AF157706.1_cds_AAD49650.1_42	1455	1155.56	1702	1683.83
lcl|AF157706.1_cds_AAD49651.1_43	795	495.563	3369	7772.04
lcl|AF157706.1_cds_AAD49652.1_44	3039	2739.56	12228	5102.78
lcl|AF157706.1_cds_AAD49653.1_45	2493	2193.56	8475	4416.95
