target_id	length	eff_length	est_counts	tpm
lcl|AF157706.1_cds_AAD49614.1_1	2280	2138.04	944.386	415.071
lcl|AF157706.1_cds_AAD49618.1_2	603	461.154	54.4568	110.967
lcl|AF157706.1_cds_AAD49617.1_3	480	338.269	58.6567	162.946
lcl|AF157706.1_cds_AAD49616.1_4	240	107.28	26.5	232.121
lcl|AF157706.1_cds_AAD49615.1_5	1179	1037.04	6718.5	6087.87
lcl|AF157706.1_cds_AAD49619.1_6	180	58.8991	1510	24091.1
lcl|AF157706.1_cds_AAD49620.1_7	582	440.194	99	211.339
lcl|AF157706.1_cds_AAD49621.1_8	240	107.28	353.5	3096.41
lcl|AF157706.1_cds_AAD49691.1_9	1092	950.037	1043.5	1032.14
lcl|AF157706.1_cds_AAD49622.1_10	1161	1019.04	2326	2144.9
lcl|AF157706.1_cds_AAD49623.1_11	1608	1466.04	2911	1865.88
lcl|AF157706.1_cds_AAD49634.1_12	2712	2570.04	6794.17	2484.19
lcl|AF157706.1_cds_AAD49624.1_13	207	79.9728	123.828	1455.01
lcl|AF157706.1_cds_AAD49625.1_14	1236	1094.04	2521	2165.35
lcl|AF157706.1_cds_AAD49626.1_15	315	175.506	626	3351.73
lcl|AF157706.1_cds_AAD49627.1_16	1512	1370.04	3515.61	2411.32
lcl|AF157706.1_cds_AAA02870.1_17	2577	2435.04	17814.4	6874.69
lcl|AF157706.1_cds_AAD49690.1_18	618	476.154	641	1265.02
lcl|AF157706.1_cds_AAD49628.1_19	324	184.108	248	1265.81
lcl|AF157706.1_cds_AAD49629.1_20	1833	1691.04	9842	5469.12
lcl|AF157706.1_cds_AAD49689.1_21	576	434.233	3077	6658.75
lcl|AF157706.1_cds_AAD49635.1_22	1005	863.037	2168	2360.57
lcl|AF157706.1_cds_AAD49630.1_23	885	743.111	4209	5322.46
lcl|AF157706.1_cds_AAD49631.1_24	1170	1028.04	4207	3845.49
lcl|AF157706.1_cds_AAD49632.1_25	1305	1163.04	4320	3490.42
lcl|AF157706.1_cds_AAD49633.1_26	1503	1361.04	3879.29	2678.36
lcl|AF157706.1_cds_AAD49636.1_27	609	467.154	1490.71	2998.62
lcl|AF157706.1_cds_AAD49688.1_28	900	758.111	6201	7686.28
lcl|AF157706.1_cds_AAD49637.1_29	267	130.946	4770	34230.4
lcl|AF157706.1_cds_AAD49638.1_30	174	54.674	1766	30352.7
lcl|AF157706.1_cds_AAD49639.1_31	951	809.111	3356	3897.64
lcl|AF157706.1_cds_AAD49640.1_32	888	746.111	10992	13844
lcl|AF157706.1_cds_AAD49641.1_33	1101	959.037	13027	12764.3
lcl|AF157706.1_cds_AAD49642.1_34	2415	2273.04	5811	2402.33
lcl|AF157706.1_cds_AAD49643.1_35	900	758.111	3921.39	4860.65
lcl|AF157706.1_cds_AAD49644.1_36	3249	3107.04	6312.61	1909.2
lcl|AF157706.1_cds_AAD49645.1_37	6234	6092.04	10975	1692.89
lcl|AF157706.1_cds_AAD49646.1_38	270	133.67	3046	21413.3
lcl|AF157706.1_cds_AAD49647.1_39	1413	1271.04	4997	3694.36
lcl|AF157706.1_cds_AAD49648.1_40	831	689.111	5372	7325.45
lcl|AF157706.1_cds_AAD49649.1_41	321	181.237	346	1793.97
lcl|AF157706.1_cds_AAD49650.1_42	1455	1313.04	1840	1316.83
lcl|AF157706.1_cds_AAD49651.1_43	795	653.111	1655	2381.21
lcl|AF157706.1_cds_AAD49652.1_44	3039	2897.04	12518	4060.4
lcl|AF157706.1_cds_AAD49653.1_45	2493	2351.04	12778.6	5107.54
lcl|AF157706.1_cds_AAD49654.1_46	2181	2039.04	7204.39	3320.17
lcl|AF157706.1_cds_AAB06339.1_47	3399	3257.04	16829	4855.38
lcl|AF157706.1_cds_AAB06340.1_48	1551	1409.04	7556	5039.15
lcl|AF157706.1_cds_AAB06341.1_49	2583	2441.04	6519	2509.54
lcl|AF157706.1_cds_AAB06342.1_50	696	554.111	4385	7436.36
lcl|AF157706.1_cds_AAB06343.1_51	1131	989.037	5010	4760.06
lcl|AF157706.1_cds_AAB06344.1_52	255	120.204	4743	37078.4
lcl|AF157706.1_cds_AAB06345.1_53	2217	2075.04	4633	2098.09
lcl|AF157706.1_cds_AAB06346.1_54	2085	1943.04	23931	11573.6
lcl|AF157706.1_cds_AAB06347.1_55	759	617.111	2881.82	4388.24
lcl|AF157706.1_cds_AAB06348.1_56	1668	1526.04	6918.18	4260.05
lcl|AF157706.1_cds_AAB06349.1_57	906	764.111	11853	14576.7
lcl|AF157706.1_cds_AAD49655.1_58	777	635.111	3800	5622.4
lcl|AF157706.1_cds_AAD49656.1_59	1587	1445.04	17943	11668.2
lcl|AF157706.1_cds_AAD49657.1_60	1380	1238.04	11616	8816.79
lcl|AF157706.1_cds_AAD49658.1_61	1479	1337.04	2553	1794.3
lcl|AF157706.1_cds_AAD49659.1_62	891	749.111	16972	21289.9
lcl|AF157706.1_cds_AAD49660.1_63	4038	3896.04	28403	6850.6
lcl|AF157706.1_cds_AAD49661.1_64	2319	2177.04	3821	1649.3
lcl|AF157706.1_cds_AAD49662.1_65	1053	911.037	5056	5215.05
lcl|AF157706.1_cds_AAD49667.1_66	2001	1859.04	5134	2595.11
lcl|AF157706.1_cds_AAD49663.1_67	264	128.241	531.961	3898
lcl|AF157706.1_cds_AAD49664.1_68	657	515.111	2222.04	4053.58
lcl|AF157706.1_cds_AAD49665.1_69	1329	1187.04	5154.4	4080.39
lcl|AF157706.1_cds_AAD49666.1_70	1008	866.037	5650.6	6131.2
lcl|AF157706.1_cds_AAD49668.1_71	1062	920.037	5775	5898.4
lcl|AF157706.1_cds_AAD49669.1_72	345	204.53	3406	15648.6
lcl|AF157706.1_cds_AAD49670.1_73	1692	1550.04	22707	13765.9
lcl|AF157706.1_cds_AAB06353.1_74	1467	1325.04	13403.8	9505.77
lcl|AF157706.1_cds_AAB06354.1_75	246	112.24	3055.21	25578.9
lcl|AF157706.1_cds_AAB06355.1_76	1035	893.037	11928	12551.2
lcl|AF157706.1_cds_AAB06356.1_77	2343	2201.04	9165	3912.85
lcl|AF157706.1_cds_AAB06357.1_78	1989	1847.04	4997	2542.27
lcl|AF157706.1_cds_AAB06358.1_79	750	608.111	2480.45	3832.97
lcl|AF157706.1_cds_AAB06359.1_80	1989	1847.04	4304.85	2190.13
lcl|AF157706.1_cds_AAB06360.1_81	2475	2333.04	5175.7	2084.66
lcl|AF157706.1_cds_AAB06361.1_82	240	107.28	25956	227356
lcl|AF157706.1_cds_AAB06362.1_83	228	97.1853	3279	31705.1
lcl|AF157706.1_cds_AAD49671.1_84	1443	1301.04	9372	6769.09
lcl|AF157706.1_cds_AAB06365.1_85	768	626.111	12638	18967.7
lcl|AF157706.1_cds_AAB06366.1_86	753	611.111	9200	14146.7
lcl|AF157706.1_cds_AAB06367.1_87	342	201.619	17872	83296.9
lcl|AF157706.1_cds_AAD49672.1_88	1029	887.037	1451	1537.14
lcl|AF157706.1_cds_AAD49673.1_89	879	737.111	1314	1675.14
lcl|AF157706.1_cds_AAD49674.1_90	4563	4421.04	3574	759.658
lcl|AF157706.1_cds_AAD49675.1_91	3237	3095.04	9021	2738.9
lcl|AF157706.1_cds_AAD49676.1_92	471	329.269	3340	9531.97
lcl|AF157706.1_cds_AAD49677.1_93	798	656.111	256	366.649
lcl|AF157706.1_cds_AAD49678.1_94	1473	1331.04	2713	1915.35
lcl|AF157706.1_cds_AAD49679.1_95	3639	3497.04	10839	2912.57
lcl|AF157706.1_cds_AAD49680.1_96	1851	1709.04	50089	27540.9
lcl|AF157706.1_cds_AAD49681.1_97	321	181.237	63	326.648
lcl|AF157706.1_cds_AAD49682.1_98	2280	2138.04	944.386	415.071
lcl|AF157706.1_cds_AAD49683.1_99	603	461.154	54.4568	110.967
lcl|AF157706.1_cds_AAD49684.1_100	480	338.269	58.6567	162.946
lcl|AF157706.1_cds_AAD49685.1_101	240	107.28	26.5	232.121
lcl|AF157706.1_cds_AAD49686.1_102	1179	1037.04	6718.5	6087.87
lcl|AF157706.1_cds_AAD49687.1_103	180	58.8991	1510	24091.1
