cor	gene	rank
0.383	HSPD1	1
0.363	RANBP1	2
0.354	SLIRP	3
0.349	IMPDH2	4
0.347	C1QBP	5
0.328	TIMM10	6
0.325	CYC1	7
0.324	SLC3A2	8
0.323	HSP90AB1	9
0.318	RAN	10
0.307	MCM7	11
0.307	UBTF	12
0.305	ATP1B3	13
0.305	TOMM40	14
0.304	MANF	15
0.301	MARS	16
0.295	MRTO4	17
0.295	PRKDC	18
0.294	NOLC1	19
0.293	POLD2	20
0.293	NDUFAB1	21
0.291	CCT6A	22
0.29	PSMD2	23
0.289	ACOT7	24
0.287	SNRPE	25
0.287	HNRNPAB	26
0.286	SDF2L1	27
0.283	GADD45GIP1	28
0.281	TRAP1	29
0.277	E2F1	30
0.275	EPRS	31
0.275	IARS	32
0.273	CCT5	33
0.273	BRCA2	34
0.273	PHB	35
0.27	CMSS1	36
0.27	PRMT1	37
0.27	MCM5	38
0.269	GNL3	39
0.268	CCT4	40
0.268	MRPL4	41
0.266	EIF4EBP1	42
0.265	PSAT1	43
0.265	RSL1D1	44
0.263	HYOU1	45
0.262	CENPX	46
0.261	EEF1E1	47
0.261	LTV1	48
0.261	ALG5	49
0.26	NDUFS6	50
0.26	UQCRQ	51
0.258	YBX1	52
0.258	HSPE1	53
0.258	PAICS	54
0.258	NHP2	55
0.258	DDX21	56
0.258	CALR	57
0.257	ATIC	58
0.257	ARG2	59
0.256	SRM	60
0.256	MCM4	61
0.256	THOP1	62
0.255	BOLA3	63
0.255	MRPL36	64
0.255	DCTPP1	65
0.254	LSM5	66
0.254	HSD17B12	67
0.253	TKT	68
0.253	CCT2	69
0.252	PUM3	70
0.252	TIMM50	71
0.25	DKC1	72
0.25	MIS18A	73
0.249	MCM2	74
0.249	VDAC1	75
0.249	TCP1	76
0.249	STOML2	77
0.248	MCM3	78
0.248	TIMM44	79
0.246	POLR2E	80
0.246	RNASEH2A	81
0.246	FBL	82
0.245	CCT3	83
0.245	GARS	84
0.245	HSP90AA1	85
0.244	NUDC	86
0.244	EEF1B2	87
0.244	ELOVL4	88
0.244	PRDX4	89
0.244	GTPBP4	90
0.244	SNRPD1	91
0.243	ORC6	92
0.242	CENPH	93
0.241	ILF2	94
0.241	NCL	95
0.24	CACYBP	96
0.24	RPL4	97
0.239	CCT7	98
0.239	FEN1	99
0.239	FKBP4	100
0.238	ATAD3A	101
0.238	MEA1	102
0.238	BRCA1	103
0.237	NDUFAF2	104
0.237	DHFR	105
0.237	ATP2A2	106
0.237	HSPH1	107
0.237	PDCD5	108
0.236	EIF3L	109
0.235	SLC25A5	110
0.235	COX6A1	111
0.234	CHTF18	112
0.233	ELOC	113
0.233	MRPL41	114
0.232	ABCE1	115
0.232	WDR34	116
0.232	TUFM	117
0.232	GPI	118
0.231	DYNLL1	119
