target_id       length  eff_length      est_counts      tpm
lcl|AF157706.1_cds_AAD49614.1_1 2280    1981    158     500000
lcl|AF157706.1_cds_AAD49618.1_2 603     304     0       0
lcl|AF157706.1_cds_AAD49617.1_3 480     181.03  0       0
lcl|AF157706.1_cds_AAD49616.1_4 240     24.9687 0       0
lcl|AF157706.1_cds_AAD49615.1_5 1179    880     0       0
lcl|AF157706.1_cds_AAD49619.1_6 180     17.1439 0       0
lcl|AF157706.1_cds_AAD49620.1_7 582     283     0       0
lcl|AF157706.1_cds_AAD49621.1_8 240     24.9687 0       0
lcl|AF157706.1_cds_AAD49691.1_9 1092    793     0       0
lcl|AF157706.1_cds_AAD49622.1_10        1161    862     0       0
lcl|AF157706.1_cds_AAD49623.1_11        1608    1309    0       0
lcl|AF157706.1_cds_AAD49634.1_12        2712    2413    0       0
lcl|AF157706.1_cds_AAD49624.1_13        207     20.0556 0       0
lcl|AF157706.1_cds_AAD49625.1_14        1236    937     0       0
lcl|AF157706.1_cds_AAD49626.1_15        315     46.579  0       0
lcl|AF157706.1_cds_AAD49627.1_16        1512    1213    0       0
lcl|AF157706.1_cds_AAA02870.1_17        2577    2278    0       0
lcl|AF157706.1_cds_AAD49690.1_18        618     319     0       0
lcl|AF157706.1_cds_AAD49628.1_19        324     50.7158 0       0
lcl|AF157706.1_cds_AAD49629.1_20        1833    1534    0       0
lcl|AF157706.1_cds_AAD49689.1_21        576     277     0       0
lcl|AF157706.1_cds_AAD49635.1_22        1005    706     0       0
lcl|AF157706.1_cds_AAD49630.1_23        885     586     0       0
lcl|AF157706.1_cds_AAD49631.1_24        1170    871     0       0
lcl|AF157706.1_cds_AAD49632.1_25        1305    1006    0       0
lcl|AF157706.1_cds_AAD49633.1_26        1503    1204    0       0
lcl|AF157706.1_cds_AAD49636.1_27        609     310     0       0
lcl|AF157706.1_cds_AAD49688.1_28        900     601     0       0
lcl|AF157706.1_cds_AAD49637.1_29        267     30.6304 0       0
lcl|AF157706.1_cds_AAD49638.1_30        174     16.5971 0       0
lcl|AF157706.1_cds_AAD49639.1_31        951     652     0       0
lcl|AF157706.1_cds_AAD49640.1_32        888     589     0       0
lcl|AF157706.1_cds_AAD49641.1_33        1101    802     0       0
lcl|AF157706.1_cds_AAD49642.1_34        2415    2116    0       0
lcl|AF157706.1_cds_AAD49643.1_35        900     601     0       0
lcl|AF157706.1_cds_AAD49644.1_36        3249    2950    0       0
lcl|AF157706.1_cds_AAD49645.1_37        6234    5935    0       0
lcl|AF157706.1_cds_AAD49646.1_38        270     31.3794 0       0
lcl|AF157706.1_cds_AAD49647.1_39        1413    1114    0       0
lcl|AF157706.1_cds_AAD49648.1_40        831     532     0       0
lcl|AF157706.1_cds_AAD49649.1_41        321     49.2896 0       0
lcl|AF157706.1_cds_AAD49650.1_42        1455    1156    0       0
lcl|AF157706.1_cds_AAD49651.1_43        795     496     0       0
lcl|AF157706.1_cds_AAD49652.1_44        3039    2740    0       0
lcl|AF157706.1_cds_AAD49653.1_45        2493    2194    0       0
lcl|AF157706.1_cds_AAD49654.1_46        2181    1882    0       0
lcl|AF157706.1_cds_AAB06339.1_47        3399    3100    0       0
lcl|AF157706.1_cds_AAB06340.1_48        1551    1252    0       0
lcl|AF157706.1_cds_AAB06341.1_49        2583    2284    0       0
lcl|AF157706.1_cds_AAB06342.1_50        696     397     0       0
lcl|AF157706.1_cds_AAB06343.1_51        1131    832     0       0
lcl|AF157706.1_cds_AAB06344.1_52        255     27.8898 0       0
lcl|AF157706.1_cds_AAB06345.1_53        2217    1918    0       0
lcl|AF157706.1_cds_AAB06346.1_54        2085    1786    0       0
lcl|AF157706.1_cds_AAB06347.1_55        759     460     0       0
lcl|AF157706.1_cds_AAB06348.1_56        1668    1369    0       0
lcl|AF157706.1_cds_AAB06349.1_57        906     607     0       0
lcl|AF157706.1_cds_AAD49655.1_58        777     478     0       0
lcl|AF157706.1_cds_AAD49656.1_59        1587    1288    0       0
lcl|AF157706.1_cds_AAD49657.1_60        1380    1081    0       0
lcl|AF157706.1_cds_AAD49658.1_61        1479    1180    0       0
lcl|AF157706.1_cds_AAD49659.1_62        891     592     0       0
lcl|AF157706.1_cds_AAD49660.1_63        4038    3739    0       0
lcl|AF157706.1_cds_AAD49661.1_64        2319    2020    0       0
